mode,scene_name,sources,class_names,full_img_path,full_mask_path
multi,ADE_train_00000003,phase_2_poco_out0,pibc_valve,,
multi,ADE_train_00000013,phase_2_poco_out0,duct_silencer,,
multi,ADE_train_00000019,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",server_rack;balcony_railing;mechanical_pump,,
multi,ADE_train_00000047,"phase_2_poco_out0,phase_2_poco_out1",hvac_pipe;pipe_hanger,,
multi,ADE_train_00000048,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",construction_vehicle;glazing_panel;utility_meter,,
multi,ADE_train_00000049,"phase_2_poco_out0,phase_2_poco_out1",pipe_clamp;pipe_bracket,,
multi,ADE_train_00000064,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",ups_unit;mechanical_pump;utility_meter,,
multi,ADE_train_00000067,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",balustrade;pipe_general;construction_vehicle,,
multi,ADE_train_00000072,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",steel_beam;heat_exchanger;pipe_support,,
multi,ADE_train_00000093,"phase_1_shifu_out0,phase_1_shifu_out1,phase_1_shifu_out3",electric_motor;pipe_general;concrete_beam,,
multi,ADE_train_00000164,phase_2_poco_out0,shutoff_valve,,
multi,ADE_train_00000175,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",rebar_mesh;radiator;air_diffuser,,
multi,ADE_train_00000189,"phase_1_poco_out0,phase_1_poco_out2",concrete_beam;heat_exchanger,,
multi,ADE_train_00000196,phase_2_pdin_out0,DB_board,,
multi,ADE_train_00000197,"phase_2_pdin_out0,phase_2_pdin_out1",switchgear_panel;control_board,,
multi,ADE_train_00000198,phase_2_pdin_out0,fire_hose_reel,,
multi,ADE_train_00000202,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",hose_reel;fire_extinguisher;extinguisher_cylinder,,
multi,ADE_train_00000205,"phase_2_pdin_out0,phase_2_pdin_out1",exhaust_fan;ventilation_fan,,
multi,ADE_train_00000206,"phase_2_pdin_out0,phase_2_pdin_out1",inline_fan;hvac_control_panel,,
multi,ADE_train_00000207,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",mechanical_control_panel;return_grille;supply_grille,,
multi,ADE_train_00000208,"phase_1_poco_out0,phase_1_poco_out1,phase_1_poco_out2",scaffolding;pipe_general;concrete_beam,,
multi,ADE_train_00000209,phase_2_pdin_out0,piping_manifold,,
multi,ADE_train_00000211,phase_2_pdin_out0,heating_radiator,,
multi,ADE_train_00000213,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",convector;co_sensor;CO_detector,,
multi,ADE_train_00000216,phase_2_pdin_out0,carbon_monoxide_sensor,,
multi,ADE_train_00000220,"phase_2_pdin_out0,phase_2_pdin_out1",gas_sensor;environmental_sensor,,
multi,ADE_train_00000222,phase_2_pdin_out0,humidity_sensor,,
multi,ADE_train_00000224,phase_2_pdin_out0,IAQ_sensor,,
multi,ADE_train_00000226,"phase_2_pdin_out0,phase_2_pdin_out1",water_meter;electricity_meter,,
multi,ADE_train_00000227,"phase_2_pdin_out0,phase_2_pdin_out1",BTU_meter;flow_meter,,
multi,ADE_train_00000228,"phase_2_pdin_out0,phase_2_pdin_out1",fire_damper;smoke_damper,,
multi,ADE_train_00000229,"phase_2_pdin_out0,phase_2_pdin_out1,phase_2_pdin_out2",window_glass;glass_panel;distribution_panel,,
multi,ADE_train_00000234,"phase_2_pdin_out0,phase_2_pdin_out1",fire_extinguisher;extinguisher_cylinder,,
multi,ADE_train_00000236,"phase_1_pdin_out0,phase_1_pdin_out1,phase_1_pdin_out2",generator_set;pipe_general;heat_exchanger,,
